,id,label,Prediction,positive_prediction,negative_prediction
0,20800,0,0,1.34E-05,0.99998664
1,20801,1,1,0.999982119,1.79E-05
2,20802,0,1,0.999975681,2.43E-05
3,20803,1,0,1.37E-05,0.999986313
4,20804,1,1,0.999982119,1.79E-05
5,20805,1,1,0.999982834,1.72E-05
6,20806,1,0,1.79E-05,0.99998207
7,20807,1,1,0.999979854,2.01E-05
8,20808,0,1,0.999971986,2.80E-05
9,20809,1,1,0.9999789,2.11E-05
10,20810,0,1,0.999935985,6.40E-05
11,20811,1,1,0.999981403,1.86E-05
12,20812,0,1,0.999981165,1.88E-05
13,20813,1,1,0.999977827,2.22E-05
14,20814,1,1,0.999981165,1.88E-05
15,20815,0,0,1.40E-05,0.999985959
16,20816,0,0,1.35E-05,0.99998654
17,20817,1,0,4.40E-05,0.999956005
18,20818,1,1,0.999981642,1.84E-05
19,20819,1,0,1.47E-05,0.999985297
20,20820,1,1,0.9999578,4.22E-05
21,20821,1,1,0.999970675,2.93E-05
22,20822,0,1,0.999945402,5.46E-05
23,20823,1,1,0.999982595,1.74E-05
24,20824,1,1,0.999716818,0.000283182
25,20825,0,0,1.37E-05,0.999986255
26,20826,1,1,0.999982238,1.78E-05
27,20827,0,0,1.31E-05,0.99998694
28,20828,0,0,1.38E-05,0.999986217
29,20829,1,1,0.999979973,2.00E-05
30,20830,1,0,1.34E-05,0.999986599
31,20831,1,1,0.999981999,1.80E-05
32,20832,0,0,1.36E-05,0.999986385
33,20833,0,0,1.43E-05,0.99998573
34,20834,1,1,0.999981403,1.86E-05
35,20835,0,0,1.39E-05,0.999986102
36,20836,1,0,1.34E-05,0.999986626
37,20837,1,1,0.999953747,4.63E-05
38,20838,0,1,0.999981999,1.80E-05
39,20839,0,0,1.43E-05,0.999985739
40,20840,0,0,1.31E-05,0.999986882
41,20841,1,0,1.37E-05,0.999986257
42,20842,1,1,0.999976039,2.40E-05
43,20843,1,0,1.31E-05,0.999986913
44,20844,0,0,1.37E-05,0.999986253
45,20845,1,1,0.999931574,6.84E-05
46,20846,1,0,2.17E-05,0.999978295
47,20847,0,0,1.38E-05,0.99998616
48,20848,1,1,0.999977231,2.28E-05
49,20849,1,1,0.99998188,1.81E-05
50,20850,0,0,6.47E-05,0.999935311
51,20851,0,1,0.999948621,5.14E-05
52,20852,0,0,1.33E-05,0.99998667
53,20853,1,1,0.999972582,2.74E-05
54,20854,1,1,0.999981999,1.80E-05
55,20855,0,0,1.49E-05,0.999985101
56,20856,1,1,0.999982715,1.73E-05
57,20857,0,0,1.38E-05,0.999986244
58,20858,0,0,1.39E-05,0.999986105
59,20859,1,0,1.42E-05,0.99998584
60,20860,1,1,0.99996388,3.61E-05
61,20861,0,1,0.999981999,1.80E-05
62,20862,0,1,0.99997735,2.26E-05
63,20863,1,0,3.54E-05,0.999964595
64,20864,1,1,0.999980569,1.94E-05
65,20865,1,1,0.999967694,3.23E-05
66,20866,0,1,0.999980569,1.94E-05
67,20867,1,1,0.999982357,1.76E-05
68,20868,0,1,0.999982238,1.78E-05
69,20869,1,0,3.48E-05,0.999965163
70,20870,1,1,0.999957561,4.24E-05
71,20871,1,1,0.999973536,2.65E-05
72,20872,0,1,0.999968171,3.18E-05
73,20873,1,0,1.36E-05,0.999986379
74,20874,0,0,7.20E-05,0.999928003
75,20875,0,0,1.42E-05,0.999985782
76,20876,0,0,1.41E-05,0.999985941
77,20877,0,0,1.32E-05,0.999986792
78,20878,1,1,0.999919176,8.08E-05
79,20879,1,0,3.31E-05,0.999966904
80,20880,0,0,1.33E-05,0.999986673
81,20881,1,1,0.999982834,1.72E-05
82,20882,1,0,3.90E-05,0.999961017
83,20883,1,1,0.999981761,1.82E-05
84,20884,0,1,0.999955654,4.43E-05
85,20885,0,1,0.999981284,1.87E-05
86,20886,1,0,0.000573477,0.999426523
87,20887,0,0,1.46E-05,0.999985369
88,20888,0,0,1.43E-05,0.999985707
89,20889,1,0,1.43E-05,0.999985683
90,20890,1,1,0.999982476,1.75E-05
91,20891,0,0,1.34E-05,0.999986593
92,20892,0,0,1.37E-05,0.999986277
93,20893,1,1,0.999921679,7.83E-05
94,20894,1,1,0.999982357,1.76E-05
95,20895,0,0,1.40E-05,0.999985986
96,20896,0,0,1.33E-05,0.999986685
97,20897,1,0,1.41E-05,0.999985859
98,20898,0,1,0.999982119,1.79E-05
99,20899,0,1,0.999979138,2.09E-05
100,20900,1,0,2.52E-05,0.999974836
101,20901,1,1,0.999982119,1.79E-05
102,20902,1,0,3.26E-05,0.99996744
103,20903,0,0,1.43E-05,0.999985701
104,20904,0,0,1.34E-05,0.999986596
105,20905,0,0,1.38E-05,0.999986177
106,20906,0,1,0.99997592,2.41E-05
107,20907,0,0,1.40E-05,0.999985972
108,20908,1,1,0.999982715,1.73E-05
109,20909,1,1,0.99997592,2.41E-05
110,20910,0,1,0.999979973,2.00E-05
111,20911,1,1,0.999925852,7.41E-05
112,20912,1,0,2.77E-05,0.999972315
113,20913,0,0,1.36E-05,0.999986432
114,20914,1,0,3.39E-05,0.999966128
115,20915,1,0,3.88E-05,0.99996118
116,20916,0,0,1.38E-05,0.999986189
117,20917,0,1,0.999982119,1.79E-05
118,20918,1,0,2.78E-05,0.999972179
119,20919,1,1,0.999982834,1.72E-05
120,20920,1,1,0.999981403,1.86E-05
121,20921,1,0,3.14E-05,0.999968609
122,20922,1,1,0.999966979,3.30E-05
123,20923,1,0,3.56E-05,0.999964425
124,20924,1,0,3.66E-05,0.999963388
125,20925,1,1,0.999974251,2.57E-05
126,20926,1,1,0.999981523,1.85E-05
127,20927,1,0,3.97E-05,0.999960254
128,20928,1,1,0.999975324,2.47E-05
129,20929,0,0,1.36E-05,0.999986421
130,20930,1,1,0.999977469,2.25E-05
131,20931,0,0,1.40E-05,0.999985988
132,20932,1,1,0.999982238,1.78E-05
133,20933,1,0,1.43E-05,0.999985741
134,20934,1,0,2.23E-05,0.999977701
135,20935,0,0,1.34E-05,0.99998655
